Code,Name,Waiting_Times,Count,Fraction
E39000018,London,a. < 2 weeks,113,0.729032258
E39000018,London,b. 2 to 6 weeks,32,0.206451613
E39000018,London,c. 6 to 12 weeks,6,0.038709677
E39000018,London,d. Over 12 weeks,4,0.025806452
E39000025,Wessex,a. < 2 weeks,32,0.727272727
E39000025,Wessex,b. 2 to 6 weeks,11,0.25
E39000025,Wessex,c. 6 to 12 weeks,1,0.022727273
E39000025,Wessex,d. Over 12 weeks,0,0
E39000026,Cheshire and Merseyside,a. < 2 weeks,32,0.727272727
E39000026,Cheshire and Merseyside,b. 2 to 6 weeks,9,0.204545455
E39000026,Cheshire and Merseyside,c. 6 to 12 weeks,3,0.068181818
E39000026,Cheshire and Merseyside,d. Over 12 weeks,0,0
E39000029,Yorkshire and Humber,a. < 2 weeks,105,0.795454545
E39000029,Yorkshire and Humber,b. 2 to 6 weeks,20,0.151515152
E39000029,Yorkshire and Humber,c. 6 to 12 weeks,5,0.037878788
E39000029,Yorkshire and Humber,d. Over 12 weeks,2,0.015151515
E39000030,Central Midlands,a. < 2 weeks,58,0.716049383
E39000030,Central Midlands,b. 2 to 6 weeks,20,0.24691358
E39000030,Central Midlands,c. 6 to 12 weeks,2,0.024691358
E39000030,Central Midlands,d. Over 12 weeks,1,0.012345679
E39000031,East,a. < 2 weeks,38,0.612903226
E39000031,East,b. 2 to 6 weeks,18,0.290322581
E39000031,East,c. 6 to 12 weeks,3,0.048387097
E39000031,East,d. Over 12 weeks,3,0.048387097
E39000032,North Midlands,a. < 2 weeks,33,0.75
E39000032,North Midlands,b. 2 to 6 weeks,10,0.227272727
E39000032,North Midlands,c. 6 to 12 weeks,1,0.022727273
E39000032,North Midlands,d. Over 12 weeks,0,0
E39000033,West Midlands,a. < 2 weeks,33,0.75
E39000033,West Midlands,b. 2 to 6 weeks,7,0.159090909
E39000033,West Midlands,c. 6 to 12 weeks,3,0.068181818
E39000033,West Midlands,d. Over 12 weeks,1,0.022727273
E39000034,South Central,a. < 2 weeks,31,0.720930233
E39000034,South Central,b. 2 to 6 weeks,10,0.23255814
E39000034,South Central,c. 6 to 12 weeks,2,0.046511628
E39000034,South Central,d. Over 12 weeks,0,0
E39000035,South East,a. < 2 weeks,41,0.745454545
E39000035,South East,b. 2 to 6 weeks,11,0.2
E39000035,South East,c. 6 to 12 weeks,3,0.054545455
E39000035,South East,d. Over 12 weeks,0,0
E39000036,South West,a. < 2 weeks,37,0.725490196
E39000036,South West,b. 2 to 6 weeks,11,0.215686275
E39000036,South West,c. 6 to 12 weeks,1,0.019607843
E39000036,South West,d. Over 12 weeks,2,0.039215686
E39000028,Lancashire and Greater Manchester,a. < 2 weeks,71,0.633928571
E39000028,Lancashire and Greater Manchester,b. 2 to 6 weeks,30,0.267857143
E39000028,Lancashire and Greater Manchester,c. 6 to 12 weeks,8,0.071428571
E39000028,Lancashire and Greater Manchester,d. Over 12 weeks,3,0.026785714
E39000039,Cumbria and North East,a. < 2 weeks,50,0.793650794
E39000039,Cumbria and North East,b. 2 to 6 weeks,12,0.19047619
E39000039,Cumbria and North East,c. 6 to 12 weeks,1,0.015873016
E39000039,Cumbria and North East,d. Over 12 weeks,0,0
